"জেলা","নির্বাচনী আসন","কেন্দ্র নং","ভোটকেন্দ্রের নাম","বৈধ ভোট","বাতিল ভোট","অনুপস্থিত ভোটার","মোট ভোটার","ফাইল"
"শেরপুর","শেরপুর-৩","১","সিংগাবরুনা সরকারী প্রাথমিক বিদ্যালয়, সিংগাবরুনাগ্রাম- সিংগাবরুনা,উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১০৮২","৯","১২৩০","২৩২১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২","বড়ইকুচি সরকারী প্রাথমিক বিদ্যালয়, বড়ইকুচিগ্রাম- বড়ই কুচি, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৪৩৬","১১","১৯৫৬","৩৪০৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৩","মাটিফাটা জিএম উচ্চ বিদ্যালয়, (টিনসেট ভবন) মাটিফাটা-১গ্রাম: মাটিফাটা, ডাকঘর- মাটিফাটা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৭৩৬","৬","১৮৮৭","৩৬২৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৪","মাটিফাটা জি,এম, উচ্চ বিদ্যালয় (মূল ভবন), মাটিফাটা-২গ্রাম: মাটিফাটা, ডাকঘর- মাটিফাটা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৩৪৪","৩","২৪৮২","৩৮২৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫","জলংগা মাধবপুর সরকারি প্রাথমিক বিদ্যালয়, জলংগা মাধবপুরগ্রাম- জলংগা মাধবপুর,উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৪৬৪","৭","২১০৯","৩৫৮০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬","মেঝপাড়া সরকারি প্রাথমিক বিদ্যালয়, মেঝপাড়াপোঃ মাটিফাটা, সিংগাবরুনা ইউনিয়ন, শ্রীবরদী, শেরপুর","১২৮২","৫","১৫৭৩","২৮৬০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭","বালুর চর হাইস্কুল এন্ড কলেজ, বালুর চরগ্রাম- ভায়াডাঙ্গা, উপজেলা- শ্রীবরদী, জেলা- শেরপুরু।","১৮২৭","৪","২১১১","৩৯৪২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮","ভায়াডাঙ্গা মদিনাতুল উলুম কওমী মাদ্রাসা, ভায়াডাঙ্গাগ্রাম: রানীশিমুল, ডাকঘর- ভায়াডাংগা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৮৬৬","১৩","২৬৫০","৪৫২৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯","বাঘহাতা সরকারী প্রাথমিক বিদ্যালয়, বাঘহাতাগ্রাম- ভায়াডাঙ্গা, উপজেলা- শ্রীবরদী, জেলা- শেরপুরু্","১৮০৪","৭","১৯০৮","৩৭১৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৩","গুরুচরণ দুধনই আদর্শ উচ্চ বিদ্যালয় গুরুচরণ দুধনই।","১৩৫৫","২০","১৬৩৯","৩০১৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১০","চক্রপুর সরকারী প্রাথমিক বিদ্যালয়, চক্রপুরগ্রাম: চক্রপুর, ডাকঘর- ভায়াডাংগা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৭২১","৭","১৭২৫","৩৪৫৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১১","বালিজুরী সরকারী প্রাথমিক বিদ্যালয়, বালিজুরীগ্রাম: বালিজুড়ী, ডাকঘর- বালিজুড়ী, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৯৭৫","২০","২২১২","৪২০৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২","টেংগরপাড়া উচ্চ বিদ্যালয়, টেংগরপাড়াগ্রাম: ভায়াডাংগা আসন্দিপাড়া, ডাকঘর- ভায়াডাংগা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৯২৯","৯","১২৪০","২১৭৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৪","পূর্ব কাংশা সরকারি প্রাথমিক বিদ্যালয়পূর্ব কাংশা।","১২৬৭","৮","১১৪৭","২৪২২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৩","টেংগরপাড়া সরকারি প্রাথমিক বিদ্যালয়, টেংগরপাড়াগ্রাম- টেংগরপাড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৭৯৯","৬","১৬১৪","২৪১৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৫","পানবর সরকারি প্রাথমিক বিদ্যালয় পানবর।","১০৮২","১২","১২০৯","২৩০৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৪","রানীশিমুল সরকারি প্রাথমিক বিদ্যালয়, রানীশিমুলগ্রাম- রানীশমুল, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৩৬২","১৫","২৪৯৮","৪৮৭৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৬","আয়নাপুর উচ্চ বিদ্যালয়আয়নাপুর।","২১৫৮","১২৭","২০১৪","৪২৯৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৫","গবরীকুড়া সরকারী প্রাথমিক বিদ্যালয়, গবরীকুড়াগ্রাম: খঞ্চেপাড়া, ডাকঘর- কাকিলাকুড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১০৫৬","৫","১২৪৭","২৩০৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৭","দুপুরিয়া সরকারি প্রাথমিক বিদ্যালয়দুপুরিয়া।","১৪০৩","৫","১৮০২","৩২১০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৬","গবরীকুড়া আকন্দ কলম আলী উচ্চ বিদ্যালয়, গবরীকুড়াগ্রাম- গবরীকুড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১১০০","৭","১৩৫৪","২৪৬১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৮","গান্দিগাঁও সরকারি প্রাথমিক বিদ্যালয়গান্দিগাঁও।","২২২২","১০","২০২৬","৪২৫৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৭৯","বাকাকুড়া উচ্চ বিদ্যালয়বাকাকুড়া।","১৯৯০","২৬","২২৬৪","৪২৮০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮০","নওকুচি সরকারি প্রাথমিক বিদ্যালয় নওকুচি","১২৫৮","২২","১০৫৯","২৩৩৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৭","গড়খোলা সরকারী প্রাথমিক বিদ্যালয়, গড়খোলাগ্রাম- গড়খোলা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৬৬২","৫","১৫৪২","৩২০৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৮","কামারদহেরপাড় সরকারী প্রাথমিক বিদ্যালয়, কামারদহেরপাড়গ্রাম- কামারদহেরপাড়, ইউনিয়ন: কাকিলাকুড়া, উপজেলা - শ্রীবরদী, জেলা- শেরপুর।","২৩০২","৭","২৭২২","৫০৩১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮১","ধানশাইল উচ্চ বিদ্যালয়ধানশাইল।","১৫৬০","১০৮","২০১০","৩৬৭৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১৯","কাকিলাকুড়া সরকারী প্রাথমিক বিদ্যালয়, কাকিলাকুড়াগ্রাম: মলামারী, ডাকঘর- মলামারী,উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১১১৭","১৪","১৪০৪","২৫৩৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২০","জোলগাঁও সরকারি সরকারি প্রাথমিক বিদ্যালয়জোলগাঁও।","১১৮১","৫","১২৮২","২৪৬৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২০","কাকিলাকুড়া উচ্চ বিদ্যালয়, কাকিলাকুড়াগ্রাম- মলামারী, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৮৩৮","২","১৭৬১","২৬০১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২১","বানিয়াপাড়া সরকারি প্রাথমিক বিদ্যালয়বানিয়াপাড়া।","১৩৩৪","১০","৮৫৬","২২০০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮২","ধানশাইল ইসলামিয়া দাখিল মাদ্রাসাধানশাইল।","১৬৮৬","১২","২০২৭","৩৭২৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২১","খোশালপুর সরকারী প্রাথমিক বিদ্যালয়, খোশালপুরগ্রাম- খোশালপুর, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৮৫৩","৫","২৬০০","৪৪৫৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২২","চেঙ্গুরিয়া আনছার আলী উচ্চ বিদ্যালয়চেঙ্গুরিয়া।","১২৫৬","১৫","৯২৭","২১৯৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৩","দাড়িয়ারপাড় সরকারি প্রাথমিক বিদ্যালয়দাড়িয়ারপাড়।","২১১৫","২৮","১৯২৯","৪০৭২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২৩","রাঙ্গামাটিয়া সরকারি প্রাথমিক বিদ্যালয়রাঙ্গামাটিয়া।","১৭৭২","০","১৬৩০","৩৪০২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২২","খোশালপুর দক্ষিণ সরকারী প্রাথমিক বিদ্যালয়, খোশালপুরখোশালপুর দক্ষিণ","১৬৪২","৮","১৯৭২","৩৬২২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২৪","হাসলি বাতিয়া সরকারি প্রাথমিক বিদ্যালয়বাতিয়াগাঁও।","১৫৫৩","৪","৭৭৮","২৩৩৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৩","পশ্চিম ছনকান্দা সরকারী প্রাথমিক বিদ্যালয়, পশ্চিম ছনকান্দাগ্রাম- ছনকান্দা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৪৪৯","৭","১১২৫","২৫৮১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৪","উত্তর কান্দুলী সরকারি প্রাথমিক বিদ্যালয়উত্তর কান্দুলী।","১৩৩০","৭","১৪৯৭","২৮৩৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৫","বাগেরভিটা দাখিল মাদ্রাসাবাগেরভিটা।","১১৯৩","৫","১৩২২","২৫২০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৬","কান্দুলী সরকারি প্রাথমিক বিদ্যালয়কান্দুলী।","১৩০৪","৭","৯৯৪","২৩০৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৪","চককাউরিয়া সরকারী প্রাথমিক বিদ্যালয়, চককাউরিয়াগ্রাম: চককাউরিয়া,উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৯৭০","৫","২১৩৮","৪১১৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৮","ভালুকা সরকারি প্রাথমিক বিদ্যালয়ভালুকা।","১৩৫৪","৭","১৩০০","২৬৬১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৭","কুচনীপাড়া সরকারি প্রাথমিক বিদ্যালয়কুচনীপাড়া।","১৯৩৪","২৩","৮৮২","২৮৩৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৫","দক্ষিন ষাইটকাকড়া সরকারী প্রাথমিক বিদ্যালয়, দক্ষিন ষাইটকাকড়াগ্রাম- দক্ষিণ ষাইট কাকড়া, ডাকঘর- শ্রীবরদী, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৫৬৭","৪","৫০৪","১০৭৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৬","গেরামারা সরকারি প্রাথমিক বিদ্যালয়, গেরামারাগ্রাম- গেরামারা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৭৬৮","৭","৬৮২","১৪৫৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৮৯","ডেফলাই সরকারি প্রাথমিক বিদ্যালয়ডেফলাই।","২২৫৭","১৭","২৪৩৩","৪৭০৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯৭","ভারুগাঁও সরকারি প্রাথমিক বিদ্যালয়ভারুগাঁও।","১৪০৫","১৭","১৫৩৮","২৯৬০","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৭","পোড়াগড় সরকারী প্রাথমিক বিদ্যালয়, পোড়াগড়গ্রাম- পোড়াগড়, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৪২০","১৪","১৩৪৯","২৭৮৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯৮","হলদিবাটা সরকারি প্রাথমিক বিদ্যালয়হলদিবাটা।","১৬০১","২২","১৭৭৪","৩৩৯৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৮","বকচর সরকারী প্রাথমিক বিদ্যালয়, বকচরগ্রাম: বকচর, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৫৩৮","১৫","১১১০","২৬৬৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯৯","কালাকুড়া সরকারি প্রাথমিক বিদ্যালয়কালাকুড়া।","৯৭৮","৩","৯১০","১৮৯১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯০","শালচূড়া উচ্চ বিদ্যালয়শালচূড়া।","১৬৩৩","২","১২১০","২৮৪৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১০০","বনগ্রাম হাফেজ উদ্দিন উচ্চ বিদ্যালয়বনগাঁও পূর্ব পাড়া।","১৬০১","৭","১৩৬৪","২৯৭২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২৭","সরকারি আদর্শ মহাবিদ্যালয়তিনানী, মালিঝিকান্দা।","১৪০৬","১৪","১৪১৪","২৮৩৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯১","রাংটিয়া বিদ্যালয়রাংটিয়া নলকুড়া, ঝিনাইগাতী, শেরপুর।","১৬১৮","৪","১৪০০","৩০২২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১২৮","হাসলিগাঁও সরকারি প্রাথমিক বিদ্যালয়।হাসলিগাঁও।","১২৮৫","২০","৭৬৪","২০৬৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১০১","পশ্চিম বনগাঁও সরকারি প্রাথমিক বিদ্যালয়পশ্চিম বনগাঁও।","১৪০৮","১০","১৩৪৬","২৭৬৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","২৯","শালমারা সরকারী প্রাথমিক বিদ্যালয়, শালমারাগ্রাম: শালমারা, ডাকঘর- ভটপুর, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২১৪১","৬","২২৭০","৪৪১৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৯২","সন্ধ্যাকুড়া সরকারি প্রাথমিক বিদ্যালয়সন্ধ্যাকুড়া।","১২৪৪","১১","৯৫২","২২০৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১০২","বনগাঁও জনতা উচ্চ বিদ্যালয়বনগাঁও।","১২৭৯","১৪","১৫২৬","২৮১৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৩০","মাটিয়াকুড়া সরকারী প্রাথমিক বিদ্যালয়, মাটিয়াকুড়াগ্রাম- মাটিয়াকুড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৯৯৬","৭","২৩২২","৪৩২৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","১১৪","হাতীবান্ধা সরকারি প্রাথমিক বিদ্যালয়হাতীবান্ধা।","১৬৪২","২৩","১১৯২","২৮৫৭","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৩১","গিলাগাছা সরকারী প্রাথমিক বিদ্যালয়, গিলাগাছাগ্রাম- গিলাগাছ, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২২৬৪","১৯","১৫০৮","৩৭৯১","ডাউনলোড"
